OBJECTID,District,FREQUENCY,SUM_Population,MEAN_Permanent_roof,MEAN_Permanent_wall,MEAN_Permanent_floor,MEAN_Not_living_in_decent_dwellings
1,Buikwe,69,422771,93.78405797,70.88115942,52.13188406,94.98405797
2,Bukomansimbi,25,151413,97.46,82.352,43.624,96.332
3,Butambala,25,100840,98.304,81.376,51.624,95.276
4,Buvuma,38,89890,69.37105263,6.507894737,8.686842105,99.78684211
5,Gomba,37,159922,90.17027027,52.21351351,29.68918919,97.75675676
6,Kalangala,17,54293,80.07647059,18.16470588,22.8,98.67058824
7,Kalungu,37,183232,96.92972973,77.68918919,47.32972973,95.68108108
8,Kampala,96,1507080,99.24270833,92.64479167,94.475,74.43645833
9,Kayunga,61,368062,79.36557377,53.66885246,34.84098361,97.82459016
10,Kiboga,40,148218,84.5,50.97,33.7175,97.7475
11,Kyankwanzi,88,214693,69.61704545,37.49659091,23.58181818,98.80454545
12,Kyotera,53,224878,94.91886792,67.56226415,47.33396226,96.50377358
13,Luwero,91,456958,93.23076923,77.11428571,54.91538462,94.44175824
14,Lwengo,43,274953,97.54418605,79.01162791,46.91395349,95.81860465
15,Lyantonde,28,93753,76.73214286,49.09642857,33.76785714,97.51071429
16,Masaka,39,297004,96.94358974,79.63333333,54.33333333,93.71025641
17,Mityana,89,328964,96.58426966,61.6011236,38.72696629,96.48651685
18,Mpigi,56,250548,97.6625,76.8125,53.60535714,95.09821429
19,Mubende,153,684348,89.08496732,39.8620915,23.84705882,98.43856209
20,Mukono,80,596804,92.74,73.15625,55.395,94.14
21,Nakaseke,71,197373,81.35492958,59.71690141,42.14929577,96.24507042
22,Nakasongola,58,181795,70.61551724,52.36551724,33.4362069,97.88965517
23,Rakai,52,291431,88.48846154,48.42692308,25.17884615,98.71730769
24,Ssembabule,39,252597,83.91794872,62.06410256,35.67948718,97.88205128
25,Wakiso,147,1997418,98.29047619,86.7755102,71.3170068,88.40340136
26,Buhweju,37,120720,89.04324324,24.39189189,13.89459459,99.52972973
27,Buliisa,30,113161,39.68333333,12.36666667,14,99.59
28,Bundibugyo,105,224387,95.95904762,14.7647619,9.52952381,99.36190476
29,Bunyangabu,38,170247,96.58157895,14.54473684,14.19473684,98.81842105
30,Bushenyi,65,234443,98.13384615,36.67076923,37.33384615,95.66615385
31,Hoima,68,572986,72.61911765,41.43676471,24.19411765,97.60882353
32,Ibanda,55,249625,94.84545455,29.91090909,28.60363636,98.51090909
33,Isingiro,125,486360,83.0504,24.3496,17.9352,98.8664
34,Kabale,67,230609,98.95671642,21.98358209,26.4,96.48955224
35,Kabarole,59,298989,97.41525424,31.5,31.8220339,95.33220339
36,Kagadi,82,351033,84.99390244,27.03170732,14.33536585,98.38658537
37,Kakumiro,55,293108,80.18363636,31.61454545,15.33636364,98.61636364
38,Kamwenge,95,414454,80.80210526,15.75368421,12.85894737,99.24947368
39,Kanungu,71,252144,93.81830986,20.32253521,21.36197183,98.25774648
40,Kasese,152,694987,92.67171053,43.62960526,21.06907895,97.73684211
41,Kibaale,41,140947,88.03658537,26.52195122,15.30243902,98.28780488
42,Kiruhura,91,328077,83.0043956,29.34175824,31.24615385,97.95934066
43,Kiryandongo,23,266197,43.53043478,34.81304348,27.59130435,98.29565217
44,Kisoro,44,281705,99.12954545,31.82045455,22.18636364,97.93181818
45,Kyegegwa,46,281637,75.46304348,15.43478261,12.2173913,99.35652174
46,Kyenjojo,98,422204,87.20204082,18.57755102,15.67244898,98.79897959
47,Masindi,32,291113,63.571875,49.53125,32.9,96.15
48,Mbarara,84,472629,97.01785714,32.91071429,35.40952381,96.88690476
49,Mitooma,61,183444,94.79672131,25.38196721,22.6557377,98.60163934
50,Ntoroko,47,67005,77.11702128,8.64893617,13.82765957,99.22765957
51,Ntungamo,107,483841,94.72897196,20.64579439,24.9,98.50934579
52,Rubanda,46,196896,97.98913043,8.963043478,16.18478261,99.58478261
53,Rubirizi,53,129149,95.4,41.71320755,17.11886792,98.84339623
54,Rukiga,28,100726,98.28214286,10.06071429,15.98214286,98.71428571
55,Rukungiri,80,314694,96.42,15.24,28.68875,97.97625
56,Sheema,62,207343,97.57580645,31.54032258,33.48870968,97.33548387
57,Abim,32,107966,14.6625,12.90625,9.140625,99.19375
58,Adjumani,54,225251,13.7962963,28.90740741,16.03148148,98.85185185
59,Agago,78,227792,14.73076923,12.69230769,8.176923077,99.39358974
60,Alebtong,45,227541,23.19555556,12.13333333,7.751111111,99.66888889
61,Amolatar,58,147166,32.65172414,15.63793103,10.16896552,99.42068966
62,Amudat,13,105769,29.23846154,6.461538462,11.88461538,99.73076923
63,Amuru,32,186696,15.878125,6.25,5.95625,99.74375
64,Apac,65,368626,26.95384615,18.95384615,11.97538462,99.06461538
65,Arua,165,782077,25.81393939,40.32727273,13.24424242,98.40848485
66,Dokolo,62,183093,31.83387097,22.41935484,11.17419355,99.24516129
67,Gulu,41,275613,30.83902439,26.56097561,24.34878049,96.22195122
68,Kaabong,82,167879,19.18414634,6.097560976,7.717073171,99.66829268
69,Kitgum,56,204048,24.96428571,21.875,14.8625,98.08928571
70,Koboko,47,206495,16.02978723,29.91489362,9.54893617,99.0212766
71,Kole,42,239327,28.97619048,21.5,10.81666667,99.37380952
72,Kotido,25,181050,27.328,14.08,16.844,99.088
73,Lamwo,51,134371,12.77254902,11.52941176,4.556862745,99.68431373
74,Lira,88,408043,50.93977273,36.44318182,30.22386364,96.04204545
75,Maracha,42,186134,20.75714286,38.92857143,6.75,99.47619048
76,Moroto,26,103432,28.99230769,9.769230769,19.23076923,98.41923077
77,Moyo,44,139012,12.78863636,49.38636364,19.61136364,97.82045455
78,Nakapiripirit,34,156690,14.89411765,3.323529412,5.032352941,99.74411765
79,Napak,35,142224,24.66571429,3.228571429,3.622857143,99.85428571
80,Nebbi,51,238757,20.51960784,15.25490196,13.78235294,98.83333333
81,Nwoya,25,133506,12.324,6.96,5.668,99.68
82,Omoro,29,160732,14.63448276,10.4137931,7.510344828,99.26896552
83,Otuke,39,104254,13.5,9.205128205,6.217948718,99.70512821
84,Oyam,63,383644,23.45396825,17.68253968,10.21111111,99.20634921
85,Pader,52,178004,12.24230769,10.65384615,6.873076923,99.51923077
86,Pakwach,30,158037,15.56,6.8,9.016666667,99.67666667
87,Yumbe,99,484822,13.36464646,28.75757576,6.27979798,99.52222222
88,Zombo,46,240081,24.54565217,16.41304348,12.11086957,99.33695652
89,Amuria,96,270928,15.56041667,12.54270833,10.45208333,99.38645833
90,Budaka,59,207597,77.71525424,69.45423729,19.95084746,98.91694915
91,Bududa,96,210173,92.696875,8.309375,8.222916667,99.3125
92,Bugiri,71,382913,61.65774648,47.83943662,27.0056338,98.96197183
93,Bukedea,71,203600,40.51549296,33.22957746,17.58309859,99.03098592
94,Bukwo,66,89356,48.82575758,2.807575758,5.645454545,99.71212121
95,Bulambuli,110,174513,88.64454545,6.908181818,6.7,99.49363636
96,Busia,62,323662,50.72741935,31.15,31.18225806,98.41612903
97,Butaleja,63,244153,68.6984127,55.95396825,19.31904762,99.29047619
98,Butebo,32,144971,65.66875,60.38125,18.1625,99.1
99,Buyende,38,323067,57.73157895,53.55263158,18.23157895,99.36315789
100,Iganga,83,504197,92.43253012,78.83373494,43.07349398,97.38915663
101,Jinja,58,471242,98.38103448,77.78965517,58.02068966,92.00517241
102,Kaberamaido,40,215026,23.615,18.0725,14.725,99.0775
103,Kaliro,39,236199,66.66153846,67.26410256,26.14102564,98.58205128
104,Kamuli,77,486319,91.85974026,78.5025974,31.81818182,97.84675325
105,Kapchorwa,85,105186,81.98235294,7.5,11.23529412,99.20117647
106,Katakwi,57,166231,11.67719298,10.1122807,8.585964912,99.60175439
107,Kibuku,41,202033,67.95853659,64.45365854,23.10731707,98.90487805
108,Kumi,83,239268,31.19277108,28.30120482,20.98674699,98.90240964
109,Kween,70,93667,57.74857143,3.072857143,3.671428571,99.74714286
110,Luuka,43,238020,92.46046512,80.99534884,25.86511628,98.45348837
111,Manafwa,81,149544,86.32469136,21.57654321,11.63703704,99.4382716
112,Mayuge,73,473239,82.44246575,58.03287671,26.01643836,98.54383562
113,Mbale,121,488960,95.93057851,36.89586777,25.11900826,96.23636364
114,Namayingo,43,215443,47.95116279,20.23023256,16.43023256,99.54883721
115,Namisindwa,83,204281,88.69156627,18.07590361,11.80481928,99.64096386
116,Namutumba,52,252557,75.71923077,67.69807692,24.65384615,99.14230769
117,Ngora,65,141919,25.82615385,24.75846154,19.11384615,98.94923077
118,Pallisa,52,241919,55.47307692,47.59615385,21.07884615,98.98076923
119,Serere,49,285903,25.56530612,22.35918367,18.14897959,98.73061224
120,Sironko,130,242421,96.21615385,16.57461538,12.09769231,99.10846154
121,Soroti,50,296833,41.258,35.742,33.086,95.296
122,Tororo,88,517080,65.22613636,36.52045455,24.60340909,97.51363636
